99.0900	18.8800	2010	3	12	1.0	0.0	14	47	44
106.1200	20.6300	2000	11	15	1.0	2.1	5	46	25
99.1300	18.9000	2009	7	14	1.1	0.0	19	28	45
99.0700	18.9300	2010	4	14	1.1	0.0	16	55	35
98.9600	18.7600	2009	8	9	1.1	0.0	11	51	39
98.9900	18.2000	2010	2	8	1.1	0.0	21	21	15
98.9000	18.6400	2010	2	7	1.1	0.0	10	44	34
98.7900	18.6600	2010	2	1	1.1	0.0	13	59	5
99.1500	18.8400	2010	2	8	1.2	0.0	2	36	49
102.9630	21.9050	2000	6	20	1.2	10.0	11	54	0
98.8800	18.6900	2009	7	8	1.2	10.0	7	21	18
103.9150	21.3050	2004	12	13	1.2	10.0	1	19	44
103.0130	21.4140	2001	2	19	1.3	10.0	17	47	35
99.0700	18.9300	2010	3	12	1.3	0.0	17	9	5
103.3900	21.5410	2000	11	19	1.3	10.0	18	51	37
106.8510	21.1470	2000	10	5	1.3	0.0	8	9	2
97.9000	19.5000	2010	1	31	1.4	0.0	20	18	7
98.9300	18.7400	2010	4	11	1.4	8.0	15	46	53
99.2500	19.1600	2009	7	9	1.4	0.0	8	12	30
99.1200	19.0100	2009	5	9	1.5	35.0	0	23	24
103.9800	21.4140	2004	12	13	1.5	10.0	10	25	18
98.3338	0.7218	2006	5	23	1.6	0.0	15	6	14
99.0900	18.8100	2009	12	1	1.6	0.0	22	36	53
99.2900	19.4100	2010	4	11	1.6	0.0	21	55	16
99.0300	18.9500	2009	4	21	1.7	10.0	15	56	16
99.0400	14.7400	2010	9	2	1.7	4.0	13	22	33
99.9100	18.6000	2010	8	6	1.7	0.0	9	38	36
99.8500	18.5400	2010	6	15	1.7	0.0	3	38	57
99.9500	18.8400	2010	4	16	1.7	10.0	13	13	3
97.5800	18.2100	2010	4	19	1.7	10.0	9	42	50
98.8800	19.0600	2010	5	7	1.7	10.0	5	32	17
99.7000	19.6100	2010	5	2	1.7	10.0	21	26	44
98.4900	19.3000	2010	3	8	1.7	0.0	19	50	44
98.4600	19.3200	2010	3	8	1.7	0.0	19	42	40
98.7600	19.5700	2009	9	16	1.8	0.0	10	46	59
98.8000	19.2800	2009	5	2	1.8	10.0	9	47	29
99.9000	18.5300	2010	9	3	1.8	10.0	5	34	25
99.7000	18.3100	2010	4	8	1.8	0.0	11	43	36
95.7468	3.6269	1999	4	22	1.8	0.0	20	51	30
107.4800	21.0140	1999	12	6	1.8	34.9	9	56	18
